job_id,run_id,model,optimizer,N,seed,lr,eta_muon,d,M,gamma0,batch_size,target_seed,p_min,p_max,p_num,p_targets,eval_batch_size
0,toy_lin3_sgd_N128_s0_lr0.01,lin3,sgd,128,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
1,toy_lin3_sgd_N128_s0_lr0.03,lin3,sgd,128,0,0.03,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
2,toy_lin3_sgd_N128_s0_lr0.1,lin3,sgd,128,0,0.1,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
3,toy_lin3_sgd_N128_s0_lr0.3,lin3,sgd,128,0,0.3,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
4,toy_lin3_sgd_N128_s0_lr1,lin3,sgd,128,0,1.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
5,toy_lin3_muon_N128_s0_eta0.0001,lin3,muon,128,0,0.01,0.0001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
6,toy_lin3_muon_N128_s0_eta0.0003,lin3,muon,128,0,0.01,0.0003,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
7,toy_lin3_muon_N128_s0_eta0.001,lin3,muon,128,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
8,toy_lin3_muon_N128_s0_eta0.003,lin3,muon,128,0,0.01,0.003,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
9,toy_lin3_sgd_N1024_s0_lr0.01,lin3,sgd,1024,0,0.01,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
10,toy_lin3_sgd_N1024_s0_lr0.03,lin3,sgd,1024,0,0.03,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
11,toy_lin3_sgd_N1024_s0_lr0.1,lin3,sgd,1024,0,0.1,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
12,toy_lin3_sgd_N1024_s0_lr0.3,lin3,sgd,1024,0,0.3,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
13,toy_lin3_sgd_N1024_s0_lr1,lin3,sgd,1024,0,1.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
14,toy_lin3_muon_N1024_s0_eta0.0001,lin3,muon,1024,0,0.01,0.0001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
15,toy_lin3_muon_N1024_s0_eta0.0003,lin3,muon,1024,0,0.01,0.0003,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
16,toy_lin3_muon_N1024_s0_eta0.001,lin3,muon,1024,0,0.01,0.001,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
17,toy_lin3_muon_N1024_s0_eta0.003,lin3,muon,1024,0,0.01,0.003,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
18,toy_nonlin2_sgd_N128_s0_lr0.1,nonlin2,sgd,128,0,0.1,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
19,toy_nonlin2_sgd_N128_s0_lr0.3,nonlin2,sgd,128,0,0.3,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
20,toy_nonlin2_sgd_N128_s0_lr1,nonlin2,sgd,128,0,1.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
21,toy_nonlin2_sgd_N128_s0_lr3,nonlin2,sgd,128,0,3.0,,512,8,3.0,1024,4242,10000,4096000,15,"0,10240,16384,24576,36864,56320,86016,132096,202752,311296,478208,735232,1129472,1734656,2665472,4096000",8192
